;timestamp;buyer;seller;symbol;currency;price;quantity
0;0;;;CROISSANTS;SEASHELLS;4241.0;8
1;0;;;JAMS;SEASHELLS;6522.0;6
2;100;;;SQUID_INK;SEASHELLS;1818.0;7
3;200;;;DJEMBES;SEASHELLS;13298.0;2
4;300;;;JAMS;SEASHELLS;6523.0;10
5;400;;;CROISSANTS;SEASHELLS;4242.0;5
6;800;;;CROISSANTS;SEASHELLS;4242.0;5
7;800;;;KELP;SEASHELLS;2040.0;1
8;800;;;KELP;SEASHELLS;2040.0;1
9;800;;;SQUID_INK;SEASHELLS;1813.0;1
10;800;;;SQUID_INK;SEASHELLS;1813.0;1
11;900;;;JAMS;SEASHELLS;6523.0;9
12;1000;;;PICNIC_BASKET2;SEASHELLS;30064.0;7
13;1000;;;RAINFOREST_RESIN;SEASHELLS;9998.0;3
14;1100;;;JAMS;SEASHELLS;6523.0;5
15;1200;;;VOLCANIC_ROCK_VOUCHER_10000;SEASHELLS;182.0;15
16;1200;;;VOLCANIC_ROCK_VOUCHER_10250;SEASHELLS;37.0;15
17;1200;;;VOLCANIC_ROCK_VOUCHER_10500;SEASHELLS;3.0;15
18;1200;;;VOLCANIC_ROCK_VOUCHER_9500;SEASHELLS;669.0;15
19;1200;;;VOLCANIC_ROCK_VOUCHER_9750;SEASHELLS;420.0;15
20;1300;;;KELP;SEASHELLS;2040.0;1
21;1300;;;KELP;SEASHELLS;2039.0;2
22;1300;;;RAINFOREST_RESIN;SEASHELLS;10001.0;1
23;1300;;;SQUID_INK;SEASHELLS;1819.0;1
24;1300;;;SQUID_INK;SEASHELLS;1819.0;2
25;1400;;;KELP;SEASHELLS;2040.0;2
26;1400;;;RAINFOREST_RESIN;SEASHELLS;10002.0;4
27;1400;;;SQUID_INK;SEASHELLS;1820.0;2
28;1500;;;KELP;SEASHELLS;2040.0;1
29;1500;;;SQUID_INK;SEASHELLS;1820.0;1
30;1700;;;RAINFOREST_RESIN;SEASHELLS;10002.0;4
31;1700;;;VOLCANIC_ROCK;SEASHELLS;10171.0;2
32;1800;;;KELP;SEASHELLS;2041.0;3
33;1800;;;KELP;SEASHELLS;2041.0;2
34;1800;;;SQUID_INK;SEASHELLS;1822.0;3
35;1800;;;SQUID_INK;SEASHELLS;1822.0;2
36;2000;;;JAMS;SEASHELLS;6519.0;4
37;2100;;;PICNIC_BASKET1;SEASHELLS;58401.0;9
38;2100;;;PICNIC_BASKET2;SEASHELLS;30051.0;9
39;2100;;;VOLCANIC_ROCK_VOUCHER_10000;SEASHELLS;190.0;13
40;2100;;;VOLCANIC_ROCK_VOUCHER_9500;SEASHELLS;676.0;13
41;2100;;;VOLCANIC_ROCK_VOUCHER_9750;SEASHELLS;427.0;13
42;2300;;;CROISSANTS;SEASHELLS;4241.0;10
43;2300;;;RAINFOREST_RESIN;SEASHELLS;10003.0;7
44;2400;;;RAINFOREST_RESIN;SEASHELLS;10008.0;1
45;2500;;;DJEMBES;SEASHELLS;13299.0;5
46;2500;;;JAMS;SEASHELLS;6516.0;9
47;2500;;;RAINFOREST_RESIN;SEASHELLS;9992.0;2
48;2600;;;KELP;SEASHELLS;2040.0;1
49;2600;;;KELP;SEASHELLS;2040.0;6
50;2600;;;KELP;SEASHELLS;2040.0;1
51;2600;;;SQUID_INK;SEASHELLS;1822.0;1
52;2600;;;SQUID_INK;SEASHELLS;1822.0;6
53;2600;;;SQUID_INK;SEASHELLS;1822.0;1
54;2600;;;VOLCANIC_ROCK;SEASHELLS;10167.0;5
55;2700;;;JAMS;SEASHELLS;6516.0;5
56;2700;;;JAMS;SEASHELLS;6518.0;9
57;3000;;;KELP;SEASHELLS;2040.0;1
58;3000;;;SQUID_INK;SEASHELLS;1823.0;1
59;3300;;;DJEMBES;SEASHELLS;13300.0;4
60;3700;;;KELP;SEASHELLS;2040.0;1
61;3700;;;SQUID_INK;SEASHELLS;1828.0;1
62;3800;;;KELP;SEASHELLS;2043.0;2
63;3800;;;SQUID_INK;SEASHELLS;1832.0;2
64;3900;;;KELP;SEASHELLS;2042.0;1
65;3900;;;SQUID_INK;SEASHELLS;1831.0;1
66;4100;;;KELP;SEASHELLS;2041.0;3
67;4100;;;SQUID_INK;SEASHELLS;1832.0;3
68;4100;;;VOLCANIC_ROCK_VOUCHER_10000;SEASHELLS;180.0;10
69;4100;;;VOLCANIC_ROCK_VOUCHER_10000;SEASHELLS;180.0;2
70;4100;;;VOLCANIC_ROCK_VOUCHER_10250;SEASHELLS;35.0;10
71;4100;;;VOLCANIC_ROCK_VOUCHER_10250;SEASHELLS;35.0;2
72;4100;;;VOLCANIC_ROCK_VOUCHER_10500;SEASHELLS;3.0;10
73;4100;;;VOLCANIC_ROCK_VOUCHER_10500;SEASHELLS;3.0;2
74;4100;;;VOLCANIC_ROCK_VOUCHER_9500;SEASHELLS;662.0;10
75;4100;;;VOLCANIC_ROCK_VOUCHER_9500;SEASHELLS;662.0;2
76;4100;;;VOLCANIC_ROCK_VOUCHER_9750;SEASHELLS;413.0;10
77;4100;;;VOLCANIC_ROCK_VOUCHER_9750;SEASHELLS;413.0;2
79;4300;;;KELP;SEASHELLS;2039.0;4
80;4300;;;KELP;SEASHELLS;2039.0;1
81;4300;;;SQUID_INK;SEASHELLS;1833.0;4
82;4300;;;SQUID_INK;SEASHELLS;1833.0;1
83;4500;;;KELP;SEASHELLS;2039.0;1
84;4500;;;SQUID_INK;SEASHELLS;1834.0;1
85;4600;;;CROISSANTS;SEASHELLS;4239.0;8
86;4600;;;RAINFOREST_RESIN;SEASHELLS;10008.0;8
87;4700;;;JAMS;SEASHELLS;6515.0;6
88;4900;;;CROISSANTS;SEASHELLS;4238.0;5
89;5000;;;RAINFOREST_RESIN;SEASHELLS;10002.0;4
90;5100;;;KELP;SEASHELLS;2039.0;8
91;5100;;;RAINFOREST_RESIN;SEASHELLS;10000.0;2
92;5100;;;SQUID_INK;SEASHELLS;1835.0;8
93;5200;;;RAINFOREST_RESIN;SEASHELLS;9998.0;3
94;5300;;;KELP;SEASHELLS;2039.0;7
